City,State,Avg_Temp,Humidity,Rainfall,Wind_Speed,Pressure,Visibility,AQI
Delhi,Delhi,36.9,54.4,12.3,19.7,997.0,75.8,90
Bhopal,Madhya Pradesh,16.1,32.1,11.6,9.5,1007.8,64.8,89
Kolkata,West Bengal,27.8,44.6,18.9,17.1,1010.7,93.2,41
Mumbai,Maharashtra,27.9,45.0,16.0,20.6,1003.6,53.3,103
Hyderabad,Telangana,20.7,83.8,31.2,6.1,994.0,5.6,190
Mumbai,Maharashtra,36.7,37.1,21.9,24.0,1001.1,31.9,103
Delhi,Delhi,34.9,85.0,29.7,20.4,1008.4,93.3,82
Patna,Bihar,25.5,53.5,53.5,6.4,1018.6,77.8,52
Chennai,Tamil Nadu,35.6,74.1,70.9,22.5,1016.1,28.8,77
Bengaluru,Karnataka,44.0,38.6,12.5,22.8,1010.5,52.4,107
Bengaluru,Karnataka,37.9,51.3,56.8,14.5,1000.4,42.3,80
Chennai,Tamil Nadu,25.6,35.3,72.1,24.8,1004.2,14.5,35
Bhopal,Madhya Pradesh,38.7,91.8,76.0,20.7,999.8,10.7,98
Patna,Bihar,35.2,71.0,25.2,17.3,998.8,16.8,151
Hyderabad,Telangana,20.6,73.0,50.1,22.4,1019.4,23.4,100
Bhopal,Madhya Pradesh,30.9,68.4,19.2,17.6,995.2,68.9,103
Hyderabad,Telangana,17.5,64.6,17.4,24.7,997.8,42.0,104
Mumbai,Maharashtra,22.5,64.6,46.8,9.8,1007.5,72.3,57
Chennai,Tamil Nadu,32.5,41.3,1.3,19.8,1005.9,59.8,108
Mumbai,Maharashtra,26.3,75.9,17.3,11.6,992.5,51.1,154
Patna,Bihar,22.7,45.4,66.2,5.4,1000.9,77.2,31
Hyderabad,Telangana,16.8,68.3,14.8,22.1,1021.4,67.3,111
Bhopal,Madhya Pradesh,38.5,85.6,43.0,7.1,997.3,37.6,135
Mumbai,Maharashtra,41.5,61.0,23.6,3.1,1019.2,38.2,176
Mumbai,Maharashtra,27.9,39.0,33.0,6.2,1011.7,93.5,47
Hyderabad,Telangana,29.3,87.4,2.7,3.0,996.0,99.9,126
Hyderabad,Telangana,17.8,88.9,7.6,22.2,1022.2,10.0,191
Delhi,Delhi,42.5,78.4,42.8,5.5,1014.7,78.2,81
Mumbai,Maharashtra,40.3,56.0,50.2,10.6,995.0,97.0,20
Bengaluru,Karnataka,30.6,76.7,7.6,23.5,1024.0,49.9,127
Lucknow,Uttar Pradesh,37.0,78.1,4.3,19.0,1011.1,80.6,129
Patna,Bihar,22.8,55.8,1.9,15.1,1020.1,64.9,140
Patna,Bihar,18.9,83.6,7.6,16.2,1007.1,35.9,161
Hyderabad,Telangana,16.0,69.0,37.4,15.2,1016.1,83.2,53
Lucknow,Uttar Pradesh,24.6,55.0,48.8,14.3,1012.6,44.7,85
Bhopal,Madhya Pradesh,41.7,40.8,72.4,7.7,1003.4,39.4,75
Kolkata,West Bengal,16.0,92.5,6.8,16.7,1010.7,63.0,132
Bhopal,Madhya Pradesh,28.9,75.5,65.4,3.3,1009.2,83.1,36
Bengaluru,Karnataka,37.0,74.2,34.0,16.0,1019.9,55.0,113
Bengaluru,Karnataka,24.5,33.3,52.2,20.0,1020.0,78.2,20
Delhi,Delhi,43.6,40.8,68.0,15.3,1002.7,80.2,20
Jaipur,Rajasthan,39.6,58.2,23.5,7.5,1018.5,75.2,103
Bengaluru,Karnataka,37.6,85.7,75.2,2.4,993.3,68.4,61
Patna,Bihar,16.0,52.8,45.8,23.9,998.4,6.2,108
Delhi,Delhi,17.9,46.0,45.7,7.5,995.4,91.5,31
Bengaluru,Karnataka,29.5,89.1,68.4,7.9,1005.0,96.1,37
Lucknow,Uttar Pradesh,28.6,33.8,52.2,2.0,1023.7,12.7,129
Mumbai,Maharashtra,34.2,71.3,78.2,18.1,1019.8,5.3,107
Delhi,Delhi,21.6,84.8,17.8,22.2,997.8,66.0,110
Kolkata,West Bengal,29.8,59.9,77.7,22.2,997.3,42.2,25
Mumbai,Maharashtra,44.0,51.1,38.8,23.8,990.8,21.4,108
Chennai,Tamil Nadu,39.4,32.4,8.1,18.0,1011.0,81.9,68
Jaipur,Rajasthan,33.8,88.2,54.6,9.3,994.6,86.4,75
Jaipur,Rajasthan,26.0,91.0,2.5,21.0,991.9,16.3,201
Mumbai,Maharashtra,41.2,46.3,50.9,20.4,998.1,90.1,20
Mumbai,Maharashtra,41.1,71.9,0.5,10.4,1009.4,6.0,231
Chennai,Tamil Nadu,26.8,50.2,4.0,22.7,1017.5,6.1,180
Jaipur,Rajasthan,22.4,81.3,67.9,18.0,1019.2,8.4,113
Mumbai,Maharashtra,24.7,40.1,23.4,21.7,1004.0,50.4,91
Mumbai,Maharashtra,17.6,51.2,26.6,9.1,1009.4,25.2,132
Patna,Bihar,36.5,70.3,75.5,6.7,1007.5,46.7,75
Mumbai,Maharashtra,20.5,57.5,77.6,7.1,1003.9,72.0,20
Delhi,Delhi,15.4,36.7,34.9,13.4,991.3,81.7,42
Lucknow,Uttar Pradesh,30.6,47.7,43.2,3.1,1022.2,56.3,109
Jaipur,Rajasthan,17.7,43.0,34.8,4.1,1016.4,51.2,114
Bengaluru,Karnataka,35.4,61.8,76.4,19.6,1007.6,73.6,20
Jaipur,Rajasthan,38.6,75.9,37.6,22.4,1013.1,62.7,98
Mumbai,Maharashtra,29.5,65.9,47.8,22.9,994.7,14.2,114
Jaipur,Rajasthan,26.7,72.3,10.9,3.4,992.8,57.1,162
Lucknow,Uttar Pradesh,33.7,41.0,27.2,9.0,996.3,9.0,174
Patna,Bihar,25.2,43.4,52.8,14.9,998.9,32.2,85
Bhopal,Madhya Pradesh,23.0,60.1,63.0,23.8,1021.3,75.3,20
Jaipur,Rajasthan,38.2,45.7,9.0,24.9,1005.2,99.8,64
Bhopal,Madhya Pradesh,42.5,63.7,76.0,12.7,1023.4,79.5,20
Bhopal,Madhya Pradesh,35.8,53.5,16.8,8.2,1020.1,40.0,141
Lucknow,Uttar Pradesh,18.4,39.5,11.2,7.1,1020.4,9.3,193
Mumbai,Maharashtra,20.1,44.8,46.0,19.6,1009.8,36.8,68
Mumbai,Maharashtra,16.5,50.7,50.8,16.4,1008.8,50.0,49
Chennai,Tamil Nadu,44.0,63.7,4.0,15.4,1016.1,21.7,181
Lucknow,Uttar Pradesh,36.9,77.1,10.9,22.4,1021.7,7.8,201
Jaipur,Rajasthan,39.6,87.0,39.3,6.3,1013.2,20.3,162
Chennai,Tamil Nadu,42.3,78.0,20.0,16.7,1002.6,19.1,171
Patna,Bihar,44.4,73.3,38.9,23.7,1003.1,86.0,45
Chennai,Tamil Nadu,44.9,53.3,74.0,16.0,1000.5,12.6,98
Bhopal,Madhya Pradesh,34.9,58.1,74.0,9.3,1020.4,71.9,42
Kolkata,West Bengal,40.4,53.9,63.6,10.4,1019.2,50.8,70
Chennai,Tamil Nadu,23.6,51.5,51.3,15.6,991.2,67.3,56
Delhi,Delhi,41.0,32.9,59.3,24.7,1016.4,52.5,20
Delhi,Delhi,37.4,61.8,34.6,7.4,1024.6,34.3,136
Delhi,Delhi,41.7,38.7,46.2,5.2,1015.4,63.3,82
Hyderabad,Telangana,34.1,94.5,39.0,2.9,1015.0,73.7,125
Delhi,Delhi,25.4,50.2,70.5,11.9,1023.0,6.9,90
Mumbai,Maharashtra,25.7,47.7,40.2,8.1,1015.0,17.8,122
Chennai,Tamil Nadu,32.4,44.8,67.1,12.3,1008.1,87.1,20
Lucknow,Uttar Pradesh,28.6,41.8,13.7,10.3,997.6,33.6,148
Chennai,Tamil Nadu,16.3,39.7,24.8,24.0,1006.0,88.3,41
Mumbai,Maharashtra,33.9,60.1,26.2,14.9,1011.2,79.9,84
Chennai,Tamil Nadu,22.1,65.8,17.5,5.4,1012.7,95.7,81
Chennai,Tamil Nadu,22.9,92.7,77.7,23.6,1010.4,74.6,20
Kolkata,West Bengal,28.8,87.3,31.6,5.2,1004.0,6.6,188
Mumbai,Maharashtra,23.2,59.0,7.2,19.1,1008.5,10.6,168
Hyderabad,Telangana,34.8,67.0,79.3,18.7,1019.3,68.6,20
Patna,Bihar,16.4,57.0,73.4,15.1,999.2,11.9,93
Jaipur,Rajasthan,44.6,92.3,21.1,9.4,993.7,33.0,201
Chennai,Tamil Nadu,29.6,39.6,49.8,21.8,1011.1,47.9,53
Bhopal,Madhya Pradesh,15.1,86.3,58.3,19.5,999.2,40.7,92
Delhi,Delhi,22.8,77.6,64.4,17.8,998.5,80.4,39
Kolkata,West Bengal,16.8,45.6,45.7,2.2,1020.2,45.6,97
Kolkata,West Bengal,26.0,42.8,26.6,18.3,1010.3,79.6,50
Patna,Bihar,37.3,31.7,42.4,15.1,1004.5,27.4,85
Jaipur,Rajasthan,25.5,37.7,51.2,3.3,991.5,13.3,115
Patna,Bihar,37.1,49.2,8.9,11.1,1015.9,24.0,180
Bengaluru,Karnataka,26.6,31.9,70.8,18.7,1004.6,63.9,20
Jaipur,Rajasthan,35.0,46.8,70.8,20.2,1003.2,92.6,20
Hyderabad,Telangana,28.3,60.7,51.0,3.4,1014.9,69.8,71
Jaipur,Rajasthan,41.4,63.8,6.0,22.8,998.2,98.1,74
Kolkata,West Bengal,26.2,41.0,4.0,14.3,992.2,23.3,178
Kolkata,West Bengal,39.9,73.6,78.3,13.3,1013.0,74.5,29
Bhopal,Madhya Pradesh,35.8,91.3,0.8,15.3,1014.5,25.6,223
Delhi,Delhi,29.7,34.8,5.0,4.4,994.2,37.7,174
Mumbai,Maharashtra,15.5,71.0,22.1,9.0,1011.5,51.7,118
Delhi,Delhi,35.7,92.5,18.5,9.2,1015.9,41.2,190
Mumbai,Maharashtra,33.4,47.9,29.6,17.2,994.4,71.3,67
Patna,Bihar,24.5,73.8,9.4,14.1,1011.5,79.4,102
Lucknow,Uttar Pradesh,42.8,44.0,79.4,12.6,998.1,62.9,20
Bhopal,Madhya Pradesh,20.4,42.9,48.3,22.5,1024.1,90.0,20
Bhopal,Madhya Pradesh,31.8,56.3,56.5,15.7,990.3,42.1,66
Bhopal,Madhya Pradesh,26.1,70.5,68.2,16.8,1016.7,86.1,20
Chennai,Tamil Nadu,40.4,91.4,64.9,21.7,1004.1,33.9,81
Jaipur,Rajasthan,27.3,70.2,57.2,17.8,1022.7,38.2,73
Patna,Bihar,39.1,48.4,69.3,8.3,1012.7,67.6,22
Hyderabad,Telangana,34.7,34.6,69.5,21.5,1014.0,49.4,20
Lucknow,Uttar Pradesh,18.4,65.0,15.7,7.1,994.8,53.0,145
Lucknow,Uttar Pradesh,27.8,86.0,52.7,2.7,1015.1,47.2,117
Lucknow,Uttar Pradesh,23.7,57.7,28.1,15.6,1024.0,69.1,70
Patna,Bihar,17.3,36.9,53.8,6.4,1007.0,62.4,37
Bengaluru,Karnataka,40.9,70.4,32.2,15.2,1016.9,93.8,54
Bengaluru,Karnataka,27.2,48.2,18.9,9.1,1001.6,46.4,116
Lucknow,Uttar Pradesh,36.7,68.4,51.0,24.8,1019.9,63.4,55
Lucknow,Uttar Pradesh,28.7,50.4,63.9,14.9,1017.7,39.5,50
Lucknow,Uttar Pradesh,28.6,81.7,66.3,23.4,1021.2,40.4,60
Mumbai,Maharashtra,18.7,73.7,49.9,21.5,1021.1,95.7,20
Lucknow,Uttar Pradesh,33.9,62.5,54.6,8.8,995.5,71.3,56
Lucknow,Uttar Pradesh,38.0,76.7,59.2,18.4,1005.9,26.4,95
Delhi,Delhi,37.1,86.3,79.4,15.1,992.6,20.6,92
Bengaluru,Karnataka,23.7,62.2,40.7,2.3,1019.5,90.5,76
Patna,Bihar,44.8,52.3,59.6,13.9,1001.4,58.5,66
Mumbai,Maharashtra,32.7,38.2,21.9,8.8,1009.9,14.6,157
Patna,Bihar,34.9,47.4,66.4,12.4,999.7,61.0,29
Chennai,Tamil Nadu,22.1,65.5,57.0,12.9,1017.2,60.9,63
Chennai,Tamil Nadu,16.3,44.3,8.2,3.0,995.4,20.6,182
Hyderabad,Telangana,33.0,65.7,60.6,16.2,1009.5,61.5,47
Bhopal,Madhya Pradesh,22.8,86.7,31.7,14.7,991.0,47.4,139
Kolkata,West Bengal,22.4,56.1,4.1,18.3,1004.3,79.1,112
Delhi,Delhi,26.7,54.6,52.5,23.6,1024.5,13.1,109
Mumbai,Maharashtra,25.9,84.2,65.3,15.8,1011.1,14.4,104
Jaipur,Rajasthan,36.4,30.1,41.8,5.6,1021.8,96.1,29
Bhopal,Madhya Pradesh,30.1,47.6,31.2,12.3,1007.3,74.6,80
Bengaluru,Karnataka,28.0,72.4,43.7,9.9,1016.8,37.6,123
Delhi,Delhi,16.9,44.2,8.1,21.1,1010.6,39.3,133
Jaipur,Rajasthan,23.7,42.1,27.4,24.2,1022.6,28.0,104
Lucknow,Uttar Pradesh,42.3,40.2,40.2,15.2,1023.4,57.6,64
Jaipur,Rajasthan,43.6,90.4,41.5,13.7,1010.4,94.9,70
Hyderabad,Telangana,22.0,34.3,9.5,17.8,1007.6,47.9,117
Delhi,Delhi,33.9,73.9,50.4,13.0,994.7,41.7,91
Hyderabad,Telangana,16.9,57.6,45.7,5.2,1009.4,66.8,80
Chennai,Tamil Nadu,38.6,38.6,63.1,15.8,1001.8,56.7,48
Kolkata,West Bengal,16.8,36.5,66.8,8.8,1011.5,35.6,70
Patna,Bihar,23.3,82.5,39.8,5.6,1006.1,88.2,71
Delhi,Delhi,26.9,92.5,46.9,12.1,996.6,42.8,124
Delhi,Delhi,35.5,31.0,65.5,13.2,1009.7,85.3,20
Bengaluru,Karnataka,37.1,77.9,36.9,15.1,1014.4,22.2,153
Lucknow,Uttar Pradesh,19.8,65.6,34.8,2.1,1008.8,5.9,173
Patna,Bihar,30.7,77.9,15.5,4.5,1015.3,7.9,210
Jaipur,Rajasthan,20.9,76.8,36.2,6.8,1005.1,72.8,84
Delhi,Delhi,29.6,90.9,12.6,12.1,1011.4,54.3,162
Hyderabad,Telangana,44.6,32.7,10.7,4.0,996.0,48.0,150
Mumbai,Maharashtra,36.0,92.4,69.8,22.1,1000.5,50.0,74
Lucknow,Uttar Pradesh,33.1,68.6,68.4,5.3,992.1,34.8,91
Lucknow,Uttar Pradesh,25.7,46.8,61.1,18.5,1014.5,58.4,43
Kolkata,West Bengal,18.2,79.9,19.9,18.7,1005.7,60.3,113
Bhopal,Madhya Pradesh,20.9,55.2,42.7,18.7,1001.5,78.2,51
Bhopal,Madhya Pradesh,42.2,33.7,67.8,5.1,1019.6,81.0,22
Lucknow,Uttar Pradesh,28.7,61.4,30.7,2.6,1008.5,18.8,183
Mumbai,Maharashtra,40.5,73.6,58.1,16.5,1009.2,68.3,54
Jaipur,Rajasthan,41.7,40.0,32.3,22.8,1021.8,95.8,20
Bengaluru,Karnataka,31.9,70.0,1.5,14.5,1003.6,34.2,185
Kolkata,West Bengal,29.7,48.8,45.4,21.0,999.5,20.6,106
Patna,Bihar,43.8,42.6,11.8,17.9,994.5,46.9,126
Jaipur,Rajasthan,44.7,75.1,74.0,20.9,1009.4,26.6,77
Kolkata,West Bengal,37.3,36.7,33.0,3.0,996.6,7.3,156
Bhopal,Madhya Pradesh,26.6,32.0,60.4,12.6,1002.5,93.3,20
Bhopal,Madhya Pradesh,31.7,72.2,14.4,7.8,998.6,53.4,160
Bhopal,Madhya Pradesh,41.4,78.2,43.8,17.3,995.4,10.9,154
Hyderabad,Telangana,32.7,80.8,43.6,14.5,1010.3,54.3,111
Mumbai,Maharashtra,24.7,90.2,61.9,9.6,1018.4,30.3,106
Mumbai,Maharashtra,42.3,75.7,62.8,14.5,1009.9,49.0,65
Bengaluru,Karnataka,19.5,49.0,59.3,13.3,999.7,97.4,20
Hyderabad,Telangana,22.1,76.2,58.4,20.2,990.9,51.7,59
Mumbai,Maharashtra,25.7,48.9,60.4,18.3,992.2,84.7,20
Lucknow,Uttar Pradesh,17.8,44.5,61.5,14.4,1015.1,51.2,38
Mumbai,Maharashtra,36.0,42.0,71.8,18.9,1010.5,23.1,52
Chennai,Tamil Nadu,30.9,71.8,45.4,12.4,1015.6,35.5,113
Lucknow,Uttar Pradesh,41.3,84.6,41.1,10.8,1004.3,63.3,102
Bengaluru,Karnataka,24.6,43.5,17.2,13.7,1021.9,52.5,114
Lucknow,Uttar Pradesh,39.7,54.6,79.2,16.2,1014.9,97.9,20
Mumbai,Maharashtra,17.6,45.9,58.2,16.3,993.3,77.4,25
Kolkata,West Bengal,22.2,88.4,29.1,5.2,1013.0,79.9,111
Lucknow,Uttar Pradesh,26.6,71.2,3.2,24.3,1006.6,52.0,147
Delhi,Delhi,41.3,55.9,6.6,10.6,1011.0,22.5,178
Delhi,Delhi,18.6,64.2,52.9,6.5,997.9,42.8,92
Bhopal,Madhya Pradesh,36.9,51.3,66.5,6.2,1007.6,14.2,97
Chennai,Tamil Nadu,36.1,87.2,22.3,14.0,1016.2,50.8,153
Lucknow,Uttar Pradesh,31.7,77.5,23.1,6.6,992.7,14.3,204
Delhi,Delhi,44.1,90.5,77.5,16.0,992.3,90.1,27
Bhopal,Madhya Pradesh,20.9,76.4,71.1,21.8,999.9,66.9,20
Jaipur,Rajasthan,21.6,69.4,16.8,17.6,1006.5,9.7,160
Patna,Bihar,28.0,69.4,56.0,24.8,1003.0,37.8,82
Kolkata,West Bengal,36.7,71.6,55.1,19.9,992.8,46.8,75
Mumbai,Maharashtra,19.5,81.7,77.4,24.2,1018.5,45.3,47
Delhi,Delhi,22.1,31.0,55.4,2.5,1016.2,98.2,20
Bhopal,Madhya Pradesh,42.9,53.1,6.3,20.0,1001.2,5.4,179
Chennai,Tamil Nadu,42.7,47.2,6.5,7.4,994.7,61.1,156
Kolkata,West Bengal,22.4,81.7,39.2,13.8,993.8,81.6,78
Bhopal,Madhya Pradesh,17.9,33.8,12.9,19.9,1008.2,40.6,99
Kolkata,West Bengal,19.5,78.7,2.0,11.7,991.6,54.7,154
Patna,Bihar,26.7,58.6,73.4,7.1,1019.3,54.3,55
Chennai,Tamil Nadu,26.2,34.1,3.9,11.1,1007.8,45.3,127
Bengaluru,Karnataka,40.0,50.5,73.1,5.2,1024.7,79.4,20
Chennai,Tamil Nadu,38.5,51.4,59.7,23.5,1020.7,99.8,20
Delhi,Delhi,30.0,68.7,65.3,7.3,1013.6,69.9,41
Lucknow,Uttar Pradesh,20.0,35.9,48.1,24.4,1002.7,84.7,20
Jaipur,Rajasthan,39.7,42.8,42.7,24.6,996.3,87.8,20
Jaipur,Rajasthan,17.9,41.1,28.1,17.0,1024.0,46.3,91
Delhi,Delhi,29.2,40.4,56.8,19.0,1013.2,75.1,20
Patna,Bihar,22.9,71.3,59.9,16.5,1024.4,33.7,95
Chennai,Tamil Nadu,22.1,85.0,16.5,13.9,1021.1,31.7,174
Mumbai,Maharashtra,34.9,89.1,34.8,22.2,1006.4,68.0,78
Bhopal,Madhya Pradesh,44.0,77.4,46.1,6.4,1012.0,17.8,168
Hyderabad,Telangana,26.1,79.9,3.1,11.9,1021.3,15.4,208
Lucknow,Uttar Pradesh,35.9,87.7,42.4,21.8,994.1,12.5,153
Delhi,Delhi,20.4,32.0,24.1,13.2,1023.1,87.4,38
Patna,Bihar,35.7,32.7,23.7,14.4,993.3,23.9,136
Delhi,Delhi,28.6,75.2,66.0,23.9,1024.1,85.1,20
Delhi,Delhi,23.4,93.4,12.4,2.0,1004.0,43.3,181
Patna,Bihar,34.8,30.3,11.7,20.7,1001.6,73.6,60
Mumbai,Maharashtra,39.9,85.0,71.7,9.7,1007.7,36.2,94
Kolkata,West Bengal,29.4,66.6,65.1,11.0,1004.3,63.5,61
Bengaluru,Karnataka,18.9,77.4,73.6,14.9,994.2,69.0,28
Mumbai,Maharashtra,38.0,59.4,53.5,9.8,1019.7,57.4,92
Bengaluru,Karnataka,44.4,49.9,37.3,23.7,1005.8,76.7,56
Patna,Bihar,36.1,77.7,34.9,22.7,1005.9,77.1,83
Jaipur,Rajasthan,24.0,64.0,15.4,4.7,1024.9,75.0,118
Bengaluru,Karnataka,16.8,78.3,70.2,5.6,992.8,60.0,59
Jaipur,Rajasthan,27.0,67.4,0.0,17.7,1000.1,7.7,212
Jaipur,Rajasthan,37.6,54.9,10.8,23.5,1022.6,92.7,79
Bengaluru,Karnataka,41.4,86.9,71.0,21.1,991.9,5.4,127
Lucknow,Uttar Pradesh,38.1,33.7,40.2,8.1,1013.7,29.5,115
Bhopal,Madhya Pradesh,16.3,46.2,49.6,8.5,1015.8,88.3,20
Patna,Bihar,38.1,34.5,69.9,19.9,1020.9,39.3,28
Patna,Bihar,23.2,92.5,79.5,2.2,994.2,45.7,95
Kolkata,West Bengal,27.2,56.3,24.5,20.6,1007.0,5.7,151
Patna,Bihar,35.2,37.3,68.9,17.9,1008.9,93.2,20
Bhopal,Madhya Pradesh,43.2,30.1,22.2,17.0,1013.0,37.7,123
Chennai,Tamil Nadu,17.7,50.2,8.4,23.2,1019.5,45.4,125
Mumbai,Maharashtra,21.2,67.4,29.4,10.8,1000.8,48.6,128
Hyderabad,Telangana,29.0,62.7,32.4,13.9,1000.2,66.4,86
Hyderabad,Telangana,16.7,60.5,56.4,20.5,999.8,88.5,20
Patna,Bihar,19.7,30.3,57.2,4.1,1019.2,65.3,28
Lucknow,Uttar Pradesh,37.3,80.2,32.7,13.6,991.4,59.0,101
Bengaluru,Karnataka,30.3,30.1,26.7,24.0,1021.6,19.9,116
Jaipur,Rajasthan,20.3,52.6,75.8,10.0,1004.7,50.7,30
Kolkata,West Bengal,30.5,30.0,70.5,18.3,1010.6,62.3,20
Jaipur,Rajasthan,20.1,77.5,79.1,5.0,993.9,82.2,20
Lucknow,Uttar Pradesh,32.0,42.7,16.5,18.8,996.5,67.0,76
Mumbai,Maharashtra,33.1,49.2,28.1,3.7,994.4,10.7,186
Lucknow,Uttar Pradesh,36.6,73.9,62.4,23.4,996.7,91.5,20
Mumbai,Maharashtra,15.0,33.5,47.5,5.6,1011.0,10.1,114
Mumbai,Maharashtra,36.6,62.1,47.2,2.7,1015.2,8.9,170
Patna,Bihar,19.1,88.3,49.5,18.2,1008.0,32.0,100
Kolkata,West Bengal,29.5,55.5,35.4,5.6,1022.1,36.8,124
Jaipur,Rajasthan,44.0,81.2,49.2,3.5,1003.4,67.7,96
Jaipur,Rajasthan,21.5,46.9,10.7,8.1,1016.1,28.6,161
Jaipur,Rajasthan,39.6,36.5,50.6,2.4,1017.6,8.7,141
Chennai,Tamil Nadu,24.1,74.5,3.1,5.1,992.9,39.7,194
Delhi,Delhi,35.9,51.3,56.6,10.0,1001.6,43.8,86
Delhi,Delhi,19.1,76.0,64.0,21.9,991.8,79.6,20
Patna,Bihar,35.1,88.7,71.4,22.3,1019.7,92.4,20
Chennai,Tamil Nadu,37.2,30.8,17.6,4.3,1013.1,64.7,118
Bhopal,Madhya Pradesh,16.8,75.3,41.8,4.9,997.6,15.8,151
Lucknow,Uttar Pradesh,32.4,87.1,10.2,4.8,1020.7,39.4,206
Lucknow,Uttar Pradesh,43.8,30.0,74.7,22.4,1003.5,64.6,20
Patna,Bihar,41.2,84.4,56.8,10.8,993.3,73.0,75
Bhopal,Madhya Pradesh,18.0,31.5,30.3,18.7,995.9,93.9,27
Lucknow,Uttar Pradesh,26.5,64.7,32.6,22.2,1006.9,37.4,107
Delhi,Delhi,38.7,65.9,11.7,23.6,1025.0,63.6,114
Delhi,Delhi,42.3,82.8,71.3,3.4,996.3,28.9,111
Lucknow,Uttar Pradesh,33.1,53.5,6.8,6.7,1016.3,94.4,111
Bengaluru,Karnataka,28.3,58.0,21.8,23.4,1024.3,75.6,74
Kolkata,West Bengal,41.6,52.5,33.5,24.6,998.5,41.1,94
Bengaluru,Karnataka,43.5,33.2,49.6,21.6,997.5,81.2,20
Chennai,Tamil Nadu,21.5,73.3,79.3,13.3,996.5,90.0,20
Kolkata,West Bengal,36.9,84.3,53.4,22.3,1006.3,68.9,56
Bhopal,Madhya Pradesh,34.6,59.3,1.8,4.4,1012.6,90.1,116
Patna,Bihar,20.9,63.4,23.7,21.3,996.9,33.7,117
Jaipur,Rajasthan,17.1,88.8,51.4,17.9,998.8,61.5,58
Hyderabad,Telangana,36.3,48.1,18.5,24.3,1010.2,5.7,158
Hyderabad,Telangana,42.8,46.9,3.5,22.6,993.9,51.8,135
Lucknow,Uttar Pradesh,21.1,91.3,16.9,3.6,995.3,51.2,183
Lucknow,Uttar Pradesh,44.5,35.8,56.2,10.0,1016.4,8.6,122
Hyderabad,Telangana,23.6,78.1,75.2,24.3,1002.9,81.9,20
Jaipur,Rajasthan,29.8,42.4,79.8,7.5,997.0,32.7,40
Chennai,Tamil Nadu,39.2,36.0,33.7,3.3,1024.7,81.2,82
Jaipur,Rajasthan,15.3,42.9,38.6,20.3,990.6,97.3,20
Lucknow,Uttar Pradesh,34.0,87.6,52.8,17.5,996.8,78.5,55
Bengaluru,Karnataka,38.6,81.9,30.6,6.5,1021.4,53.8,140
Kolkata,West Bengal,44.2,58.2,23.9,21.1,1020.8,67.1,101
Delhi,Delhi,20.2,43.9,18.3,19.9,1017.0,57.2,76
Patna,Bihar,43.3,38.1,79.1,4.9,1006.5,9.0,98
